﻿id,Tweet,Dialect
1,"""حاجه نحس كده زي ني شرت الاهلي الازرق""",Egyptian
2,"""اهي ازاي دي بقي صعب اشرحهالك بس خديها مني في وعيه""",Egyptian
3,"""طب والله العظيم انا لو عندي شركه لمشغلني""",Egyptian
4,"""مفيش سمكه قرش كدا تطلع تبلعني""",Egyptian
5,"""اللهم اعنا وساعدنا وفرج همنا جميعا يارب تعدي الفتره دي علي خير وتحققلي اللي ف بالي""",Egyptian
6,"""الاهلي تحسه كان بيدور علي عريس مش مدرب له منا كل الدعم""",Egyptian
7,"""جماعه انا بحب مريم جدا و وجودها ف حياتي حاجه من احلي الحاجات ال حصلتلي ف السنه دي وف كل سنين عمري والله""",Egyptian
8,"""فعلا""",Egyptian
9,"""في مقوله بحبها بتقول الحب يبدء حينما ينتهي الحماس سموا انبهار البديات وانك تبقي مفتون بجمال شخص او بطريقه في الكلام""",Egyptian
10,"""الي عاوز يتفرج علي متعه كره القدم يتفرج علي الداهيه فالفيردي""",Egyptian
11,"""الدفاع ده عايز دفاع""",Egyptian
12,"""الحب لم ولن يضعف امراه الحب مبارزه تخرج منها المراه منتصره اذا ارادت فقط""",Egyptian
13,"""مابحبش حد يختبرني ف العند والتجاهل عشان بتحمس اوي للفكره وممكن احسسه اني ماعرفوش اصلا""",Egyptian
14,"""مقتنع جدا ان مش شرط اللي قدامي يعاملني بنفس الطريقه اللي بعامله بيها ولا يحبني زي مبحبه بس اقل حاجه احس منه بتقدير واهتمام""",Egyptian
15,"""مبروك ع الساقع الجوله دي""",Egyptian
16,"""بس كده يا افندم هو دا الكلام الصح والاخلاق تاتي اولا""",Egyptian
17,"""مش هغلط فيكي بردو لانك بنت""",Egyptian
18,"""ليه معنديش بويي فريند اصلا""",Egyptian
19,"""كنت اتمني لو مليش نصيب في حاجه مشفهاش متعديش عليا معرفش حتي انها موجوده""",Egyptian
20,"""ليه مستقبل كبير ه""",Egyptian
21,"""وحشني جدا ريحه المطر ولسعه برد الصبح واني امشي تحت المطر وفنجان الهوت شوكلت بتاع الصبح عشان نتدفي وحشني الشتا بكل تفاصيله""",Egyptian
22,"""في مجتمعاتنا شرف العاءله بيتمثل ف البنت فقط اما عن اي شء تاني ليس لنا اي علاقه بيه نتناسي نجاحهانتناسي ذكاءهاطم""",Egyptian
23,"""حضرتك انا وصلت لمرحله اني مبقتش اعرف احنا في يوم ايه ف الاسبوع انت متخيل كميه الزلابيه اللي انا فيها""",Egyptian
24,"""كل واحد بيحصد الي زرعه كل واحد مسيره يوصل لاخره الطريق الي هو قرر يمشي فيه بتستغربوا ليه لما تيجي لحظه الحق""",Egyptian
25,"""طب يلا بينا وليه الاسبوع الجاي نطلع نجربها دلوقتي""",Egyptian
26,"""قررت الغي خلاص كفايه عليهم كده جدا مش بس حراميه و الاشتراك زاد و بيزيد كل كام شهر بدون سبب واضح و كمان نص ال""",Egyptian
27,"""الحاجه الوحيده الي تشفع وتخليني اقتناع بالمدرب دا هي قوه الشخصيه ودا هيظهر مع الوقت غير كدا مش هقتنع بيه""",Egyptian
28,"""عاده مش بحب لا احكم علي مدرب من ال ولا اقيمه في اول ماتشاته لكن بشوف ان مبلغ مليون دولار كان ممكن يخلينا نتع""",Egyptian
29,"""هو الجو ده كده عادي ولا يوم القيامه جه وبنتحاسب ف جهنم""",Egyptian
30,"""هي موظفه بشركه من شركات جوزك ممكن تذليها مثلا ليه يعني انا مالي""",Egyptian
31,"""منافق مش عايز اقولك مناسب لمين تزعل""",Egyptian
32,"""الحمد لله""",Egyptian
33,"""حقيقه عوده بي اوت كيو من الاخر عشان الهبيده""",Egyptian
34,"""تمام ما هواش العامل الوحيد بس العوامل الثانيه ايه لو دا السبب يبقي مرض""",Egyptian
35,"""انا بتمني والله الواحد صعبان عليه حال البلد بكل اللي فيها عمالين بننزل لتحت سنه ورا سنه واللي كا""",Egyptian
36,"""انت اخويا مش صاحبي""",Egyptian
37,"""سيبقي كلام الناس وحذاءي اخوه للابد يعني كده كده كصمك انت وكلامك""",Egyptian
38,"""انا بعشق مسلسل ومهما شوفته مش بمل منه""",Egyptian
39,"""طيب وجهه نظرك ممكن تكون صح مليون في الميه ليه تقول رد خايب تحياتي لحضرتك""",Egyptian
40,"""بس انا محتاجه بس افهم الناس حاجه عشان في ناس زباله زيهم عمالين يتكلمو كل الحكايه ان ليا قريب انا معرفش انو كويس ول""",Egyptian
41,"""حصل""",Egyptian
42,"""هي شيخه مش شيخ واحده عندي ف ال ع الفيسبوك""",Egyptian
43,"""اكيد اختاروه علشان كده""",Egyptian
44,"""""",Egyptian
45,"""انا مبسوط فشخ اني عاصرت كيفين دي بروين الوحيد الي بيفكرني ببيركامب""",Egyptian
